video_id,first_trending_ts,views_day1,likes_day1,dislikes_day1,comments_day1,likes_ratio,comments_ratio,days_trending(target),category_name_Autos & Vehicles,category_name_Comedy,category_name_Education,category_name_Entertainment,category_name_Film & Animation,category_name_Gaming,category_name_Howto & Style,category_name_Music,category_name_News & Politics,category_name_Nonprofits & Activism,category_name_People & Blogs,category_name_Pets & Animals,category_name_Science & Technology,category_name_Shows,category_name_Sports,category_name_Travel & Events
-nbm90xAhWY,2018-02-24,127981,5574,107,1079,0.9811652878014434,0.0084309389675029,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-o7zywbiFVI,2017-12-12,49761,350,184,517,0.6554307116104869,0.0103896625871666,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-oCQn2VkStI,2018-01-17,104434,7862,1004,1560,0.8867584028874351,0.0149376639791638,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-oOlAGKBXnA,2017-12-12,957494,36078,1911,2054,0.9496959646213378,0.0021451831551947,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-oXybog2IuI,2017-11-16,21740,979,5,93,0.9949186991869918,0.0042778288868445,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-p-PToD2URA,2018-02-23,1422146,35854,991,2240,0.9731035418645678,0.0015750844146803,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-p2lhxUqMMQ,2018-01-28,169468,10974,73,1611,0.9933918710962252,0.0095062194632615,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-pCzLbCCppo,2018-05-08,212070,6640,135,730,0.9800738007380074,0.0034422596312538,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-ppaazmNIgA,2018-01-18,295226,2831,171,237,0.9430379746835444,0.0008027748233556,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-py2awmME8s,2017-12-03,242741,12049,118,928,0.9903016355716282,0.0038230047663971,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-rZkKvRZ0UE,2017-12-04,74720,1291,42,158,0.9684921230307576,0.0021145610278372,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-s3j-ptJD10,2018-03-08,622528,21688,368,1882,0.9833151976786362,0.0030231571913231,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-sXnoM6rDB4,2018-02-08,430483,19736,554,1760,0.9726959093149334,0.0040884309020332,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-t1q78GYNww,2018-04-19,127481,4865,234,1117,0.9541086487546576,0.0087620900369466,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-t5YLGn3VHQ,2017-12-17,48735,2465,109,411,0.9576534576534576,0.0084333641120344,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-txKpma65ZU,2018-02-02,237548,4134,1183,613,0.7775061124694377,0.0025805310926633,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-v-_Z11T5L4,2017-11-30,30690,1137,18,143,0.9844155844155844,0.0046594982078853,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
